Катерина,Климчук,katerynaklymchuk@gmail.com,460726.0,14,B,B,A
Йосип,Коробко,yosypkorobko@gmail.com,429432.0,13,A,C,A
Борислав,Даревич,boryslavdarevych@gmail.com,425433.0,16,B,B,A
Альбертина,Дмитренко,albertynadmytrenko@gmail.com,402554.0,16,C,B,A
Милослава,Бараник,myloslavabaranyk@gmail.com,398708.0,17,A,C,A
Будивид,Сеньків,budyvydsenkiv@gmail.com,385629.0,17,C,C,A
Цвітана,Бурковська,tsvitanaburkovska@gmail.com,383772.0,17,C,C,A
Юлій,Бандера,yuliibandera@gmail.com,369069.0,13,A,B,A
Далемир,Коханенко,dalemyrkokhanenko@gmail.com,366611.0,17,A,C,A
Радан,Величковський,radanvelychkovskyi@gmail.com,365642.0,17,B,C,A
Щазина,Дудар,shchazynadudar@gmail.com,365121.0,16,A,B,A
Ілля,Дощенко,illiadoshchenko@gmail.com,361249.0,17,A,B,A
Ждан,Вітренко,zhdanvitrenko@gmail.com,353098.0,13,A,B,A
Ізяслав,Куцевол,iziaslavkutsevol@gmail.com,340350.0,17,C,C,A
Єгор,Бобко,yehorbobko@gmail.com,336086.0,14,B,B,A
Уляна,Голубовська,ulianaholubovska@gmail.com,333842.0,16,C,C,A
Жито,Микуляк,zhytomykuliak@gmail.com,330853.0,17,B,C,A
Жадана,Воронченко,zhadanavoronchenko@gmail.com,315440.0,16,C,B,A
Харитя,Кавка,kharytiakavka@gmail.com,311669.0,11,A,B,A
Яволод,Ягупольський,yavolodyahupolskyi@gmail.com,310138.0,13,C,C,A
Хранимир,Буценко,khranymyrbutsenko@gmail.com,304179.0,10,B,B,A
Юстина,Кушніров,yustynakushnirov@gmail.com,286876.0,13,C,C,A
Любослава,Маковійчук,liuboslavamakoviichuk@gmail.com,282095.0,13,C,C,A
Турбог,Манойло,turbohmanoilo@gmail.com,276363.0,16,C,B,A
Щедра,Вовк,shchedravovk@gmail.com,275818.0,14,A,B,A
Ісидора,Семака,isydorasemaka@gmail.com,275043.0,10,A,A,A
Юліанія,Устенко,yulianiiaustenko@gmail.com,268264.0,17,B,B,A
Йошка,Ярешко,yoshkayareshko@gmail.com,266317.0,14,A,B,A
